Takımlar,Oyuncu Değeri
Beşiktaş,14.607253440612235
Fenerbahçe,15.141537597970846
Mersin İdmanyurdu,18.58247228904005
Fenerbahçe,16.62145950268846
Trabzonspor,20.401680728517807
Malatyaspor,16.98147817905882
Sivasspor,11.802977082534147
Mersin İdmanyurdu,12.838807762326827
Uşakspor,6.739991771133947
Trabzonspor,14.41218026792602
Mersin İdmanyurdu,12.076546891054004
Malatyaspor,17.345027407959673
Uşakspor,12.507535167836343
Trabzonspor,14.218820310885253
Uşakspor,24.646405622502748
Beşiktaş,16.895105049621552
Trabzonspor,11.409154671961838
Uşakspor,8.76987048448095
Sivasspor,18.97587723485224
Malatyaspor,11.5474715633177
Malatyaspor,10.77168333666236
Malatyaspor,16.94058931580938
Trabzonspor,20.88467306265394
Trabzonspor,14.722164461730769
Sivasspor,19.390037108081316
Beşiktaş,14.180484524616412
Trabzonspor,12.91487686672022
Mersin İdmanyurdu,6.637851468972583
Galatasaray,19.400847535010115
Fenerbahçe,8.91207705114777
Mersin İdmanyurdu,13.893974472075108
Fenerbahçe,7.591113011122449
Beşiktaş,10.763805075441512
Galatasaray,15.478046808307873
Galatasaray,12.5740545850115
Trabzonspor,19.090902537711305
Uşakspor,18.192003192494404
Sivasspor,23.710884491470537
Mersin İdmanyurdu,12.158652410757556
Malatyaspor,13.496107842277338
Sivasspor,8.965479518502184
Sivasspor,16.94755255379336
Beşiktaş,15.186082096514898
Fenerbahçe,17.440512327424198
Sivasspor,11.81620029274009
Uşakspor,12.072576045434369
Uşakspor,12.91660498459934
Beşiktaş,18.626677911876893
Galatasaray,16.35264327992518
Mersin İdmanyurdu,14.688895327699552
Fenerbahçe,8.797523206554821
Beşiktaş,12.878812468111127
Galatasaray,16.055571915679753
Sivasspor,13.696369378353047
Sivasspor,14.177730417877012
Uşakspor,13.759145397443016
Fenerbahçe,13.656902166906862
Uşakspor,17.641879705399578
Beşiktaş,16.141505616662027
Malatyaspor,14.21096770579573
Fenerbahçe,18.166449052442996
Beşiktaş,18.019043814580144
Galatasaray,15.905979355261021
Trabzonspor,12.871721246385546
Mersin İdmanyurdu,14.851789535719393
Sivasspor,17.88034297488432
Malatyaspor,15.543660430931082
Uşakspor,9.595732774116108
Galatasaray,8.661292454646706
Trabzonspor,16.427070376059785
Uşakspor,18.627830154987823
Sivasspor,13.61446616418954
Uşakspor,12.211893555119556
Uşakspor,12.439823782883083
Beşiktaş,8.388160431033434
Beşiktaş,11.124469823659915
Beşiktaş,13.371059500344893
Mersin İdmanyurdu,20.269572050373323
Galatasaray,16.596814096081964
